Acceptors,HOMO,HOMO-1,LUMO,LUMO+1,ES,ET,DET1,Nd
C70,-5.935894796,-5.988412798,-3.127134088,-3.05856136,-72578.58957,-72576.61544,1.97412394,70
DTz-R1,-3.997082546,-4.305387708,-3.70347154,-3.333668614,-179138.1709,-179137.9985,0.1723450346,84
DTz-R3,-4.892881834,-5.159553554,-3.856127494,-3.661565984,-184559.7636,-184558.9218,0.8417672437,84
F-BTA3,-3.994361406,-4.501581902,-3.710818618,-3.549455016,-186687.3415,-186687.5307,-0.1892044017,84
FCC-Cl-4Ph,-5.220234976,-5.660787542,-4.085247482,-3.910550294,-193273.055,-193273.1122,-0.05722584631,79
FCC-Cl-6Ph,-4.552195106,-4.758185404,-3.516529222,-3.24768059,-201550.2394,-201549.3989,0.8404306197,91
FCC-Cl,-5.101593272,-6.064876832,-3.734220422,-3.641157434,-176687.3076,-176686.5798,0.7277789612,55
FTCC-Br,-5.013156222,-5.466226032,-4.206066098,-4.15654135,-283039.3343,-283039.938,-0.6036277651,55
FTTB-PDI4,-4.15790192,-4.585665128,-3.880617754,-3.34292049,-217382.081,-217382.4837,-0.4027093999,146
HD-4Cl,-3.935584782,-4.138581826,-3.18645494,-2.997607824,-223722.0687,-223722.4279,-0.359171432,59
HDO-4Cl,-3.998443116,-4.36606913,-2.771208976,-2.645492308,-225768.9352,-225768.5112,0.4239696667,59
ICBA,-5.010707196,-5.387585086,-3.40686728,-2.84767301,-81132.62679,-81131.86182,0.7649701422,78
IDIC-Br,-4.153548096,-4.999550522,-3.349451226,-2.999240508,-249680.5139,-249679.5586,0.9553002795,50
IDIC-S,-3.658844844,-4.003341168,-2.928490868,-2.441678922,-144244.1467,-144244.0672,0.07954300393,50
IDIC,-4.984584252,-5.26132419,-3.55789055,-3.004954902,-109764.2348,-109763.4897,0.7451134393,50
IO-4Cl,-4.599542942,-5.30486243,-4.252597592,4.2041613,-202155.9216,-202156.269,-0.3473478066,80
IT-4F,-4.564984464,-5.2790116,-4.173412418,-4.12388767,-162931.5255,-162931.6888,-0.1632765634,80
ITCC,-4.871384828,-5.596296524,-4.099669524,-3.74564921,-169567.289,-169567.288,0.0009578412573,78
ITIC-F,-4.564984464,-5.2790116,-4.173412418,-4.12388767,-162931.5255,-162931.6888,-0.1632765634,80
ITIC-M,-4.649611918,-5.217241722,-3.670001518,-3.234891232,-152143.1088,-152143.1141,-0.005217513826,80
N2200,-5.65452892,-6.686929436,-3.288769804,-1.844116578,-100739.8167,-100737.9307,1.886088258,46
PNB-10,-5.21234367,-5.77425908,-2.416644434,-1.740985372,-121741.1697,-121739.3789,1.790750397,41
PNP,-5.518744034,-5.769361028,-2.672431594,-2.332833322,-78413.42558,-78411.13157,2.294015444,75
tPDI2N-EH,-5.77698022,-5.817525206,-3.383193362,-3.370676118,-113856.5369,-113855.1315,1.405378468,62
Y6O,-4.71845676,-4.943767152,-4.25314182,-4.167153796,-184303.3192,-184304.4264,-1.107249553,59